Areaname,GEOID,area
"Levy, FL",12075,1412.41
"Liberty, FL",12077,843.22
"Madison, FL",12079,715.89
"Manatee, FL",12081,892.84
"Marion, FL",12083,1663.1
"Martin, FL",12085,752.86
"Miami-Dade, FL",12086,2429.59
"Monroe, FL",12087,3737.42
"Nassau, FL",12089,725.9
"Okaloosa, FL",12091,1082.09
"Okeechobee, FL",12093,891.98
"Orange, FL",12095,1004.31
"Osceola, FL",12097,1506.49
"Palm Beach, FL",12099,2386.53
"Pasco, FL",12101,868.02
"Pinellas, FL",12103,607.75
"Polk, FL",12105,2010.19
"Putnam, FL",12107,827.22
"St. Johns, FL",12109,821.47
"St. Lucie, FL",12111,688.13
"Santa Rosa, FL",12113,1155.31
"Sarasota, FL",12115,725.27
"Seminole, FL",12117,344.9
"Sumter, FL",12119,580.35
"Suwannee, FL",12121,691.94
"Taylor, FL",12123,1232.05
"Union, FL",12125,249.72
"Volusia, FL",12127,1432.51
"Wakulla, FL",12129,735.78
"Walton, FL",12131,1238.13
"Washington, FL",12133,615.84
GEORGIA,13000,59441.22
"Appling, GA",13001,512.15
"Atkinson, GA",13003,344.12
"Bacon, GA",13005,285.94
"Baker, GA",13007,349.19
"Baldwin, GA",13009,267.52
"Banks, GA",13011,233.88
"Barrow, GA",13013,162.85
"Bartow, GA",13015,470.56
"Ben Hill, GA",13017,254.04
"Berrien, GA",13019,457.81
"Bibb, GA",13021,255.17
"Bleckley, GA",13023,219.14
"Brantley, GA",13025,447.44
"Brooks, GA",13027,497.81
"Bryan, GA",13029,454.54
"Bulloch, GA",13031,688.92
"Burke, GA",13033,835.06
"Butts, GA",13035,190.02
"Calhoun, GA",13037,283.59
"Camden, GA",13039,782.52
"Candler, GA",13043,248.85
"Carroll, GA",13045,503.86
"Catoosa, GA",13047,162.67
"Charlton, GA",13049,783.01
"Chatham, GA",13051,646.32
"Chattahoochee, GA",13053,251.19
"Chattooga, GA",13055,313.97
"Cherokee, GA",13057,434.03
"Clarke, GA",13059,121.29
"Clay, GA",13061,217.01
"Clayton, GA",13063,144.29
"Clinch, GA",13065,824.24
"Cobb, GA",13067,344.54
"Coffee, GA",13069,602.67
"Colquitt, GA",13071,556.59
"Columbia, GA",13073,307.8
"Cook, GA",13075,233.24
"Coweta, GA",13077,446.01
"Crawford, GA",13079,326.48
"Crisp, GA",13081,281.21
"Dade, GA",13083,174.1
"Dawson, GA",13085,213.95
"Decatur, GA",13087,623.2
"DeKalb, GA",13089,270.94
"Dodge, GA",13091,503.2
"Dooly, GA",13093,397.15
"Dougherty, GA",13095,334.67
"Douglas, GA",13097,200.27
"Early, GA",13099,516.31
"Echols, GA",13101,420.83
"Effingham, GA",13103,482.89
"Elbert, GA",13105,374.57
"Emanuel, GA",13107,690.4
"Evans, GA",13109,186.9
"Fannin, GA",13111,391.46
"Fayette, GA",13113,199.27
"Floyd, GA",13115,518.5
"Forsyth, GA",13117,247.38
"Franklin, GA",13119,266.38
"Fulton, GA",13121,534.59
"Gilmer, GA",13123,431.85
"Glascock, GA",13125,144.46
"Glynn, GA",13127,583.07
"Gordon, GA",13129,357.63
"Grady, GA",13131,460.37
"Greene, GA",13133,406.28
"Gwinnett, GA",13135,436.74
"Habersham, GA",13137,279.21
"Hall, GA",13139,429.21
"Hancock, GA",13141,478.8
"Haralson, GA",13143,283.19
"Harris, GA",13145,472.97
"Hart, GA",13147,256.43
"Heard, GA",13149,301.11
"Henry, GA",13151,324.49
"Houston, GA",13153,379.87
"Irwin, GA",13155,362.75
"Jackson, GA",13157,343.02
"Jasper, GA",13159,373.6
"Jeff Davis, GA",13161,335.46
"Jefferson, GA",13163,529.6
"Jenkins, GA",13165,352.48
"Johnson, GA",13167,306.54
"Jones, GA",13169,395.41
"Lamar, GA",13171,185.81
"Lanier, GA",13173,199.84
"Laurens, GA",13175,818.56
"Lee, GA",13177,362.03
"Liberty, GA",13179,602.58
"Lincoln, GA",13181,257.31
"Long, GA",13183,403.53
"Lowndes, GA",13185,510.66
"Lumpkin, GA",13187,284.89
"McDuffie, GA",13189,266.32
"McIntosh, GA",13191,574.76
"Macon, GA",13193,405.99
"Madison, GA",13195,285.6
"Marion, GA",13197,367.53
"Meriwether, GA",13199,505.39
"Miller, GA",13201,283.74
"Mitchell, GA",13205,513.84
"Monroe, GA",13207,397.83
"Montgomery, GA",13209,247.34
"Morgan, GA",13211,354.62
"Murray, GA",13213,346.9
"Muscogee, GA",13215,221.02
"Newton, GA",13217,279.21
"Oconee, GA",13219,186.15
"Oglethorpe, GA",13221,442.2
"Paulding, GA",13223,315.09
"Peach, GA",13225,151.47
"Pickens, GA",13227,232.8
"Pierce, GA",13229,343.67
"Pike, GA",13231,219.45
"Polk, GA",13233,312.16
"Pulaski, GA",13235,249.87
"Putnam, GA",13237,360.66
"Quitman, GA",13239,160.93
"Rabun, GA",13241,377.01
"Randolph, GA",13243,430.92
"Richmond, GA",13245,328.5
"Rockdale, GA",13247,132.13
"Schley, GA",13249,167.83
"Screven, GA",13251,655.66
"Seminole, GA",13253,256.58
"Spalding, GA",13255,199.61
"Stephens, GA",13257,184.24
"Stewart, GA",13259,463.26
"Sumter, GA",13261,492.58
"Talbot, GA",13263,394.77
"Taliaferro, GA",13265,195.48
"Tattnall, GA",13267,488.27
"Taylor, GA",13269,379.65
"Telfair, GA",13271,444.12
"Terrell, GA",13273,337.65
"Thomas, GA",13275,552.13
"Tift, GA",13277,268.88
"Toombs, GA",13279,368.67
"Towns, GA",13281,171.87
"Treutlen, GA",13283,202.22
"Troup, GA",13285,445.99
"Turner, GA",13287,289.87
"Twiggs, GA",13289,362.92
"Union, GA",13291,329.19
"Upson, GA",13293,327.67
"Walker, GA",13295,446.74
"Walton, GA",13297,330.07
"Ware, GA",13299,906.62
"Warren, GA",13301,286.76
"Washington, GA",13303,684.43
"Wayne, GA",13305,648.85
"Webster, GA",13307,210.27
"Wheeler, GA",13309,300.16
"White, GA",13311,242.18
"Whitfield, GA",13313,290.68
"Wilcox, GA",13315,383.32
"Wilkes, GA",13317,474.03
"Wilkinson, GA",13319,452.03
"Worth, GA",13321,574.61
HAWAII,15000,10931.58
"Hawaii, HI",15001,5086.97
"Honolulu, HI",15003,2126.98
"Kalawao, HI",15005,52.33
"Kauai, HI",15007,1266.45
"Maui, HI",15009,2398.87
IDAHO,16000,83573.77
"Ada, ID",16001,1060.38
"Adams, ID",16003,1370.11
"Bannock, ID",16005,1147.5
"Bear Lake, ID",16007,1049.49
"Benewah, ID",16009,784.01
"Bingham, ID",16011,2120.34
"Blaine, ID",16013,2661.14
"Boise, ID",16015,1906.81
"Bonner, ID",16017,1919.62
"Bonneville, ID",16019,1900.74
"Boundary, ID",16021,1278.2
"Butte, ID",16023,2233.66
"Camas, ID",16025,1079.06
"Canyon, ID",16027,603.52
"Caribou, ID",16029,1798.73
"Cassia, ID",16031,2580.45
"Clark, ID",16033,1765.28
"Clearwater, ID",16035,2488.26
"Custer, ID",16037,4936.92
"Elmore, ID",16039,3100.69
"Franklin, ID",16041,668.4
"Fremont, ID",16043,1895.67
"Gem, ID",16045,565.77
"Gooding, ID",16047,733.89
"Idaho, ID",16049,8502.78
"Jefferson, ID",16051,1105.62
"Jerome, ID",16053,601.91
"Kootenai, ID",16055,1315.77
"Latah, ID",16057,1076.94
"Lemhi, ID",16059,4569.68
"Lewis, ID",16061,479.83
"Lincoln, ID",16063,1205.92
"Madison, ID",16065,473.39
"Minidoka, ID",16067,763.03
"Nez Perce, ID",16069,856.4
"Oneida, ID",16071,1201.69
"Owyhee, ID",16073,7697.11
"Payette, ID",16075,410.19
"Power, ID",16077,1442.69
"Shoshone, ID",16079,2635.6
"Teton, ID",16081,450.6
"Twin Falls, ID",16083,1928.57
"Valley, ID",16085,3733.85
"Washington, ID",16087,1473.6
ILLINOIS,17000,57917.84
"Adams, IL",17001,871.32
"Alexander, IL",17003,252.55
"Bond, IL",17005,382.67
"Boone, IL",17007,281.96
"Brown, IL",17009,307.26
"Bureau, IL",17011,873.36
"Calhoun, IL",17013,283.71
"Carroll, IL",17015,465.81
"Cass, IL",17017,383.76
"Champaign, IL",17019,997.56
"Christian, IL",17021,715.71
"Clark, IL",17023,504.91
"Clay, IL",17025,469.87
"Clinton, IL",17027,503.5
"Coles, IL",17029,510.1
"Cook, IL",17031,1634.89
"Crawford, IL",17033,445.77
"Cumberland, IL",17035,347.02
"DeKalb, IL",17037,635.02
"De Witt, IL",17039,405.18
"Douglas, IL",17041,417.44
"DuPage, IL",17043,336.87
"Edgar, IL",17045,624.22
"Edwards, IL",17047,222.67
"Effingham, IL",17049,479.93
"Fayette, IL",17051,725.39
"Ford, IL",17053,486.44
"Franklin, IL",17055,431.42
"Fulton, IL",17057,882.66
"Gallatin, IL",17059,328.42
"Greene, IL",17061,546.37
"Grundy, IL",17063,430.44
"Hamilton, IL",17065,435.86
"Hancock, IL",17067,814.58
"Hardin, IL",17069,181.54
"Henderson, IL",17071,395.15
"Henry, IL",17073,825.64
"Iroquois, IL",17075,1118.11
"Jackson, IL",17077,602.54
"Jasper, IL",17079,498.06
"Jefferson, IL",17081,583.74
"Jersey, IL",17083,377.05
"Jo Daviess, IL",17085,618.79
"Johnson, IL",17087,348.89
"Kane, IL",17089,524.12
"Kankakee, IL",17091,681.49
"Kendall, IL",17093,322.69
"Knox, IL",17095,719.74
"Lake, IL",17097,1368.05
"LaSalle, IL",17099,1148.12
"Lawrence, IL",17101,373.97
"Lee, IL",17103,729.34
"Livingston, IL",17105,1045.49
"Logan, IL",17107,619.04
"McDonough, IL",17109,590.06
"McHenry, IL",17111,611.18
"McLean, IL",17113,1186.33
"Macon, IL",17115,585.4
"Macoupin, IL",17117,867.65
"Madison, IL",17119,740.39
"Marion, IL",17121,575.73
"Marshall, IL",17123,398.53
"Mason, IL",17125,563.41
"Massac, IL",17127,242.13
"Menard, IL",17129,315.4
"Mercer, IL",17131,568.91
"Monroe, IL",17133,397.73
"Montgomery, IL",17135,709.79
"Morgan, IL",17137,572.29
"Moultrie, IL",17139,344.48
"Ogle, IL",17141,763.33
"Peoria, IL",17143,630.91
"Perry, IL",17145,446.84
"Piatt, IL",17147,440.35
"Pike, IL",17149,848.92
"Pope, IL",17151,374.65
"Pulaski, IL",17153,203.34
"Putnam, IL",17155,172.25
"Randolph, IL",17157,597.29
"Richland, IL",17159,362.03
"Rock Island, IL",17161,451.19
"St. Clair, IL",17163,673.99
"Saline, IL",17165,386.99
"Sangamon, IL",17167,877.11
"Schuyler, IL",17169,441.43
"Scott, IL",17171,252.79
"Shelby, IL",17173,768.09
"Stark, IL",17175,288.23
"Stephenson, IL",17177,564.78
"Tazewell, IL",17179,657.94
"Union, IL",17181,422.15
"Vermilion, IL",17183,902.18
"Wabash, IL",17185,227.78
"Warren, IL",17187,543.21
"Washington, IL",17189,564.15
"Wayne, IL",17191,715.6
"White, IL",17193,501.72
"Whiteside, IL",17195,697.06
"Will, IL",17197,849.45
"Williamson, IL",17199,444.4
"Winnebago, IL",17201,519.33
"Woodford, IL",17203,542.78
INDIANA,18000,36420.09
"Adams, IN",18001,339.95
"Allen, IN",18003,660.14
"Bartholomew, IN",18005,409.38
"Benton, IN",18007,406.42
"Blackford, IN",18009,165.42
"Boone, IN",18011,423.31
"Brown, IN",18013,316.65
"Carroll, IN",18015,375.06
"Cass, IN",18017,414.95
"Clark, IN",18019,376.23
"Clay, IN",18021,360.42
"Clinton, IN",18023,405.3
"Crawford, IN",18025,308.87
"Daviess, IN",18027,436.89
"Dearborn, IN",18029,307.08
"Decatur, IN",18031,373.44
"DeKalb, IN",18033,363.87
"Delaware, IN",18035,395.95
"Dubois, IN",18037,435.25
"Elkhart, IN",18039,467.87
"Fayette, IN",18041,215.14
"Floyd, IN",18043,148.33
"Fountain, IN",18045,397.95
"Franklin, IN",18047,391.36
"Fulton, IN",18049,371.39
"Gibson, IN",18051,499.08
"Grant, IN",18053,414.84
"Greene, IN",18055,545.95
"Hamilton, IN",18057,402.75
"Hancock, IN",18059,306.75
"Harrison, IN",18061,486.91
"Hendricks, IN",18063,408.9
"Henry, IN",18065,394.93
"Howard, IN",18067,293.94
"Huntington, IN",18069,387.95
"Jackson, IN",18071,513.79
"Jasper, IN",18073,561.26
"Jay, IN",18075,383.84
"Jefferson, IN",18077,362.97
"Jennings, IN",18079,378.38
"Johnson, IN",18081,321.58
"Knox, IN",18083,524.08
"Kosciusko, IN",18085,554.36
"LaGrange, IN",18087,386.73
"Lake, IN",18089,626.38
"LaPorte, IN",18091,613.09
"Lawrence, IN",18093,452.1
"Madison, IN",18095,452.94
"Marion, IN",18097,403.11
"Marshall, IN",18099,449.95
"Martin, IN",18101,340.55
"Miami, IN",18103,377.38
"Monroe, IN",18105,411.34
"Montgomery, IN",18107,505.39
"Morgan, IN",18109,409.41
"Newton, IN",18111,403.56
"Noble, IN",18113,417.63
"Ohio, IN",18115,87.48
"Orange, IN",18117,408.23
"Owen, IN",18119,387.85
"Parke, IN",18121,450.12
"Perry, IN",18123,386.36
"Pike, IN",18125,341.1
"Porter, IN",18127,521.64
"Posey, IN",18129,419.47
"Pulaski, IN",18131,434.59
"Putnam, IN",18133,482.61
"Randolph, IN",18135,453.27
"Ripley, IN",18137,447.95
"Rush, IN",18139,408.65
"St. Joseph, IN",18141,460.97
"Scott, IN",18143,192.74
"Shelby, IN",18145,413.14
"Spencer, IN",18147,401.26
"Starke, IN",18149,312.33
"Steuben, IN",18151,322.5
"Sullivan, IN",18153,454.08
"Switzerland, IN",18155,223.54
"Tippecanoe, IN",18157,503.12
"Tipton, IN",18159,260.43
"Union, IN",18161,165.26
"Vanderburgh, IN",18163,235.76
"Vermillion, IN",18165,259.95
"Vigo, IN",18167,410.5
"Wabash, IN",18169,421.1
"Warren, IN",18171,366.63
"Warrick, IN",18173,390.87
"Washington, IN",18175,516.57
"Wayne, IN",18177,404.38
"Wells, IN",18179,370.43
"White, IN",18181,508.82
"Whitley, IN",18183,337.91
IOWA,19000,56275.54
"Adair, IA",19001,570.33
"Adams, IA",19003,425.42
"Allamakee, IA",19005,658.75
"Appanoose, IA",19007,516.39
"Audubon, IA",19009,443.6
"Benton, IA",19011,718.52
"Black Hawk, IA",19013,571.96
"Boone, IA",19015,573.54
"Bremer, IA",19017,439.64
"Buchanan, IA",19019,573.38
"Buena Vista, IA",19021,580.1
"Butler, IA",19023,581.6
"Calhoun, IA",19025,572.33
"Carroll, IA",19027,570.27
"Cass, IA",19029,565.03
"Cedar, IA",19031,582.01
"Cerro Gordo, IA",19033,575.18
"Cherokee, IA",19035,577.38
"Chickasaw, IA",19037,505.53
"Clarke, IA",19039,431.75
"Clay, IA",19041,572.56
"Clayton, IA",19043,792.85
"Clinton, IA",19045,710.26
"Crawford, IA",19047,715.04
"Dallas, IA",19049,591.77
"Davis, IA",19051,504.93
"Decatur, IA",19053,533.36
"Delaware, IA",19055,579.08
"Des Moines, IA",19057,429.83
"Dickinson, IA",19059,403.71
"Dubuque, IA",19061,616.63
"Emmet, IA",19063,402.4
"Fayette, IA",19065,731.47
"Floyd, IA",19067,501.33
"Franklin, IA",19069,583.06
"Fremont, IA",19071,516.79
"Greene, IA",19073,571.16
"Grundy, IA",19075,502.58
"Guthrie, IA",19077,593.09
"Hamilton, IA",19079,577.47
"Hancock, IA",19081,573.18
"Hardin, IA",19083,569.99
"Harrison, IA",19085,700.99
"Henry, IA",19087,436.71
"Howard, IA",19089,473.8
"Humboldt, IA",19091,435.75
"Ida, IA",19093,432.26
"Iowa, IA",19095,587.39
